t [min]	h [mm]	Q [m3/s]
7170	431	9.6
7185	433	9.6
7200	434	9.7
7215	431	9.6
7230	428	9.5
7245	429	9.6
7260	433	9.6
7275	437	9.7
7290	421	9.4
7305	429	9.6
7320	432	9.6
7335	427	9.5
7350	433	9.6
7365	434	9.7
7380	429	9.6
7395	432	9.6
7410	432	9.6
7425	429	9.6
7440	431	9.6
7455	431	9.6
7470	429	9.6
7485	427	9.5
7500	427	9.5
7515	427	9.5
7530	426	9.5
7545	425	9.5
7560	426	9.5
7575	423	9.4
7590	429	9.6
7605	423	9.4
7620	425	9.5
7635	425	9.5
7650	427	9.5
7665	427	9.5
7680	425	9.5
7695	424	9.5
7710	426	9.5
7725	424	9.5
7740	422	9.4
7755	425	9.5
7770	424	9.5
7785	420	9.4
7800	422	9.4
7815	418	9.4
7830	418	9.4
7845	420	9.4
7860	417	9.3
7875	419	9.4
7890	419	9.4
7905	420	9.4
7920	414	9.3
7935	419	9.4
7950	422	9.4
7965	414	9.3
7980	419	9.4
7995	417	9.3
8010	409	9.2
8025	418	9.4
8040	413	9.3
8055	414	9.3
8070	416	9.3
8085	416	9.3
8100	415	9.3
8115	411	9.2
8130	414	9.3
8145	409	9.2
8160	407	9.2
8175	416	9.3
8190	410	9.2
8205	416	9.3
8220	413	9.3
8235	412	9.2
8250	411	9.2
8265	409	9.2
8280	415	9.3
8295	415	9.3
8310	414	9.3
8325	413	9.3
8340	414	9.3
8355	415	9.3
8370	412	9.2
8385	413	9.3
8400	415	9.3
8415	417	9.3
8430	418	9.4
8445	412	9.2
8460	418	9.4
8475	418	9.4
8490	419	9.4
8505	417	9.3
8520	415	9.3
8535	415	9.3
8550	405	9.1
8565	408	9.2
8580	406	9.1
8595	407	9.2
8610	409	9.2
8625	404	9.1
8640	408	9.2
8655	411	9.2
8670	408	9.2
8685	407	9.2
8700	411	9.2
8715	408	9.2
8730	406	9.1
8745	408	9.2
8760	407	9.2
8775	404	9.1
8790	403	9.1
8805	412	9.2
8820	402	9.1
8835	406	9.1
8850	405	9.1
8865	407	9.2
8880	407	9.2
8895	405	9.1
8910	406	9.1
8925	408	9.2
8940	400	9.0
8955	406	9.1
8970	403	9.1
8985	406	9.1
9000	400	9.0
9015	404	9.1
9030	400	9.0
9045	405	9.1
9060	402	9.1
9075	400	9.0
9090	399	9.0
9105	404	9.1
9120	406	9.1
9135	403	9.1
9150	397	9.0
9165	404	9.1
9180	402	9.1
9195	397	9.0
9210	400	9.0
9225	402	9.1
9240	402	9.1
9255	399	9.0
9270	403	9.1
9285	402	9.1
9300	391	8.9
9315	404	9.1
9330	402	9.1
9345	397	9.0
9360	399	9.0
9375	400	9.0
9390	405	9.1
9405	400	9.0
9420	398	9.0
9435	398	9.0
9450	401	9.1
9465	399	9.0
9480	399	9.0
9495	403	9.1
9510	403	9.1
9525	394	8.9
9540	402	9.1
9555	397	9.0
9570	404	9.1
9585	399	9.0
9600	399	9.0
9615	395	9.0
9630	400	9.0
9645	392	8.9
9660	401	9.1
9675	403	9.1
9690	401	9.1
9705	394	8.9
9720	397	9.0
9735	401	9.1
9750	399	9.0
9765	404	9.1
9780	398	9.0
9795	398	9.0
9810	398	9.0
9825	402	9.1
9840	402	9.1
9855	400	9.0
9870	399	9.0
9885	399	9.0
9900	400	9.0
9915	402	9.1
9930	398	9.0
9945	402	9.1
9960	402	9.1
9975	399	9.0
9990	391	8.9
10005	394	8.9
10020	395	9.0
10035	398	9.0
10050	398	9.0
10065	392	8.9
10080	397	9.0
10095	402	9.1
10110	401	9.1
10125	398	9.0
10140	394	8.9
10155	400	9.0
10170	399	9.0
10185	394	8.9
10200	396	9.0
10215	397	9.0
10230	390	8.9
10245	392	8.9
10260	389	8.9
10275	396	9.0
10290	396	9.0
10305	394	8.9
10320	393	8.9
10335	392	8.9
10350	396	9.0
10365	396	9.0
10380	394	8.9
10395	390	8.9
10410	394	8.9
10425	388	8.9
